SKU,Name,Location,TCP,Floor_Area,Bedrooms,Baths,Club House,Gym,Swimming Pool,Security,CCTV,Reception Area,Parking Area,Source,City/Town,Province
CD65000082A4B26PH,WESTWIND AT LANCASTER NEW CITY,"Westwind at Lancaster New City San Sebastian, Kawit",3416000,30.1,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/1br-low-rise-condo-unit-for-sale-in-kawit-cavite-w-170417444982/,Kawit,CAVITE
CD65F2D2FB2808EPH,AVIANA,"Imus Blvd. Bucandala IV, Imus",4500000,23.76,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/studio-unit-2f-condo-unit-for-sale-in-bucandala-iv-171046433748/,Imus,CAVITE
CD66475144385A7PH,ONE LANCASTER PARK,"Alapan II-A, Imus",0,30,1,0,1,1,1,1,1,1,1,https://www.lamudi.com.ph/projects/one-lancaster-park/prime-pre-selling-condo-units-in-cavite-for-as-low-171595087550/,Imus,CAVITE
CD65D7FFD5AEFFEPH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",7681159,61.01,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/1br-condo-unit-for-sale-in-bacoor-cavite-at-garden-170865781646/,Bacoor,CAVITE
CD65D7FFCF00BF3PH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",3805361,30.37,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/studio-condo-unit-for-sale-in-bacoor-cavite-at-gar-170865781478/,Bacoor,CAVITE
CD65D7FFD38C1AEPH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",18643387,148.79,3,3,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/3br-condo-unit-for-sale-in-bacoor-cavite-at-garden-170865781968/,Bacoor,CAVITE
CD65E5A27A6F70DPH,AVIANA,"Imus Blvd. Bucandala IV, Imus",5976000,30.77,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-gf-condo-unit-for-sale-in-bucandala-iv-i-171046365519/,Imus,CAVITE
CD65F2D2FBE15BEPH,AVIANA,"Imus Blvd. Bucandala IV, Imus",6108000,30.77,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-5f-condo-unit-for-sale-in-bucandala-iv-i-171046433768/,Imus,CAVITE
CD650000873C4E3PH,WESTWIND AT LANCASTER NEW CITY,"Westwind at Lancaster New City Alapan II-A, Imus",3541400,32.68,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/1br-w-balcony-low-rise-condo-unit-for-sale-in-kawi-170417444580/,Imus,CAVITE
CD65F2D2FC6E6F7PH,AVIANA,"Imus Blvd. Bucandala IV, Imus",6065000,30.36,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-6f-condo-unit-for-sale-in-bucandala-iv-i-171046433567/,Imus,CAVITE
CD5F6C191EBB985PH,SERIN EAST TAGAYTAY,"Diversion Rd., Brgy. Silang Crossing East Silang Junction North, Tagaytay",11631900,61,2,2,2,1,1,1,0,1,2,https://www.lamudi.com.ph/new-developments/serin-east-tagaytay/2-bedroom-condo-unit-for-sale-at-serin-east-tagayt-168180888257/,Tagaytay,CAVITE
CD650000812BDC1PH,WESTWIND AT LANCASTER NEW CITY,"Westwind at Lancaster New City Alapan II-A, Imus",3541400,32.68,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/1br-w-balcony-low-rise-condo-unit-for-sale-in-imus-170417444748/,Imus,CAVITE
CD65F2D2FBF055CPH,AVIANA,"Imus Blvd. Bucandala IV, Imus",6028000,30.36,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-5f-condo-unit-for-sale-in-bucandala-iv-i-171046433857/,Imus,CAVITE
CD65F2D2FC4D075PH,AVIANA,"Imus Blvd. Bucandala IV, Imus",4541000,23.76,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/studio-unit-5f-condo-unit-for-sale-in-bucandala-iv-17104643356/,Imus,CAVITE
CD64A28DC9A8927PH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",5262522,37.93,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/executive-studio-condo-unit-for-sale-in-bacoor-cav-170859542738/,Bacoor,CAVITE
CD6503D3F473AB1PH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",5262522,37.93,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/executive-studio-condo-unit-for-sale-in-bacoor-cav-170859543213/,Bacoor,CAVITE
